ID,x,y,z,radiusThroughRegressionWith3Nodes,radiusThroughRegressionWith5Nodes,radiusThroughRegressionWith7Nodes,radiusThroughRegressionWith9Nodes,radiusThroughRegressionWith11Nodes,radiusThroughRegressionWith13Nodes
1021098276,606981.2573699041,5.749732569917137e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10250000897,606960.0108869721,5.749755803912295e6,0.0,Inf,0.0,0.0,0.0,0.0,0.0
3354852793,606942.6488802328,5.749774781698734e6,0.0,Inf,Inf,0.0,0.0,0.0,0.0
3919572408,606941.0981565175,5.749776473154839e6,0.0,Inf,Inf,Inf,0.0,0.0,0.0
9231304892,606852.7119287981,5.74987273123486e6,0.0,Inf,Inf,Inf,Inf,0.0,0.0
9231304891,606842.3755346074,5.749884159885926e6,0.0,Inf,Inf,Inf,Inf,Inf,0.0
1021098275,606828.5746391157,5.749901800963454e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131758,606811.5478123955,5.749926416158855e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1021098245,606799.8129505977,5.749944679917801e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
10813104078,606749.1766125448,5.750011959836285e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131767,606744.4093323249,5.750018255797926e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131781,606736.9196038394,5.750027931742068e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
10250046525,606695.1502987322,5.750082350107624e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
9850427203,606671.011642663,5.750113189568396e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131799,606630.0823670836,5.750165078433332e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131802,606600.5483725931,5.750203313522018e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131808,606576.4945456735,5.750237014629751e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
9850427202,606555.959288691,5.750267452842422e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131811,606552.0233834857,5.750273521882279e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131816,606526.3119508487,5.750321106763788e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131821,606486.9898909531,5.750391121997269e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818681,606459.4735548706,5.750435264219531e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
9850427196,606454.98329632,5.750445727500078e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
243531130,606417.9462765892,5.750532047080819e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131825,606396.8620100252,5.750578384604969e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818682,606386.4503026752,5.750603197272783e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376835693,606362.6203896982,5.750668646950522e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818655,606344.169811968,5.750721315742214e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
305873594,606328.192729349,5.750770320972143e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818654,606315.7954418036,5.750810234294015e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
9850427194,606313.3810582215,5.750819562380632e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
3929671388,606294.4883772153,5.7508924603962395e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818648,606278.839590879,5.750953934006962e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818649,606268.3750864982,5.750997838225091e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
7376818646,606260.3585126506,5.751037644350165e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
4833303447,606254.2127603476,5.751068433499988e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
305873595,606251.5668159424,5.751081873371348e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
386591982,606230.0722965618,5.751227214330717e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
2591189633,606229.4876778175,5.751232386711381e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
9850427179,606224.1011833586,5.751313382027897e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131837,606221.9264464297,5.751346146893086e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
9850427177,606220.8181912426,5.751362378680363e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1400131839,606217.5249401921,5.75141056291069e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
1898383811,606216.5988578353,5.751472716163515e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
243531132,606216.26588211,5.751489387192433e6,0.0,Inf,Inf,Inf,Inf,Inf,Inf
